f,creator,date,date is approximate?,description,subject,location,features,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Boise River below Arrowrock Dam,"Stevens, A.W. Capt.",1925,,This image is part of a series of aerials taken by the Army Air Corps.,aerials; Idaho; landscapes; dams; rivers,"Arrowrock Dam, Idaho",,,43.5957,-115.922763,Army Air Corps - Airscapes Idaho,,Army Air Corps,Army25,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,207,archivalidaho207,image,archivalidaho207.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho207.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho207_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho207_th.jpg,
"Settlers area, Kaniksu National Forest",,1925,yes,"Photo text: 'Kaniksu National Forest, Idaho. -- Settler's buildings within Forest.'",national forests; settlers; cabins; buildings; people,"Kaniksu National Forest, Idaho; Idaho Panhandle National Forest, Idaho",,,48.396598,-116.154857,,20048,,Sal13Chal74a,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,208,archivalidaho208,image,archivalidaho208.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho208.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho208_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho208_th.jpg,
President and Secretary of Kamiah Farm Chapter,,1937,yes,"President of Nez Perce Farm Chapter, David Arthur and Secretary, Richard Moffett. Kamiah Farm Chapter. This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; buildings; structures; people; gathering,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 1,,,NARA16DC67a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,209,archivalidaho209,image,archivalidaho209.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho209.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho209_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho209_th.jpg,
Harry Twogood and son Robin leading pack train on Selway River near Indian Creek,"Peterson, E.",1950,yes,This image is part of the Twogood Family Collection whose members were packers and guides in the Selway River area.,national forests; rivers; pack strings; pack trains; horses; mules; people,"Nez Perce-Clearwater National Forest, Idaho",,,45.787765,-114.769454,Twogood Family Collection; Darby; Montana,,,Twogoodl2,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,210,archivalidaho210,image,archivalidaho210.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho210.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho210_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho210_th.jpg,
Cathedral Rock and associated points in the Crags Recreation Area,"Carlson, G.W.",1962,,"Photo text: 'Special Zone. Aug. 15, 1962.'",national forests; aerials; crags; mountains; peaks; points; lakes,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness; Crags; Big Horn Crags; Crag country; Crags Recreation Area; lakes,45.135589,-114.546844,,,United States Forest Service,IntermtnPics120,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,211,archivalidaho211,image,archivalidaho211.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho211.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho211_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho211_th.jpg,
"William E. Cozzers, predatory animal hunter in winter","Goldman, L.J.",1922,yes,This is image is part of records by Fish and Wild Life Services.,national forests; forest service; coyote hunters; predator control; hunters; trappers; kills; snow; winter,"Cover Flat, Idaho",,,42.45463,-115.37701,NARA College Park; RG 22 Fish and Wildlife Services; Biological Survey Photos; WB; Box 97,,United States Fish and Wildlife Service,NARA0815DC79,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,212,archivalidaho212,image,archivalidaho212.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho212.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho212_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho212_th.jpg,
"Moose Creek Ranger Station, ranger's residence","Flint, H.R.",1969,yes,"The ranger's residence at the Moose Creek Ranger Station, Bitterroot National Forest.",ranger stations; guard stations; log; buildings; cabins; national forests,"Bitterroot National Forest, Idaho; Selway-Bitterroot Wilderness, Montana",,,46.127102,-114.917013,,,United States Forest Service,moosecrkrangersresidence,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,213,archivalidaho213,image,archivalidaho213.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho213.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho213_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho213_th.jpg,
4H corn field and club member,,1937,yes,Photo caption: 'Timothy Wheeler and his 4H corn field' This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; 4H; children; corn field; farm; agriculture; people,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 24,,,NARA16DC083,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,214,archivalidaho214,image,archivalidaho214.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho214.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho214_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho214_th.jpg,
Trail bridge at Taylor Ranch on Big Creek,Hockaday,1957,,Photo text: 'Aug. 1957.',bridges; rivers; roads; canyons; national forests,"Payette National Forest, Idaho",,,45.103975,-114.850008,,,United States Forest Service,Payette87,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,215,archivalidaho215,image,archivalidaho215.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho215.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho215_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho215_th.jpg,
"Payette River, south of Lowman, Idaho","Stevens, A.W.",1925,,"Photo text: 'Payette River, south fork, looking south, from position over Lowman, Idaho.'",cities; towns; aerial; rivers,"Lowman, Idaho",,,44.081142,-115.640581,,,,NARA10StlPht46,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,216,archivalidaho216,image,archivalidaho216.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho216.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho216_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho216_th.jpg,
Mixing station warehouse interior,,1936,yes,"Photo text: 'Interior view of warehouse room, showing in right foreground mixed bait ready to be shipped , and in the immediate background sack storage whole oats.' This image is part of a report by the United States Department of Agriculture Biological Survey on predation and pests.",agriculture; pesticides; mixing stations; extension; predations; poison; University of Idaho; machinery; materials; buildings; trucks; people,"Aberdeen, Idaho",,,42.956818,-112.828407,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 27,,,2017DC19a,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,217,archivalidaho217,image,archivalidaho217.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho217.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho217_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho217_th.jpg,
Ten Lakes Basin,"Marshall, W.H.",1940,,This is image is part of records by Fish and Wild Life Services.,national forests; mountains; lakes; ridges; peaks; points; landscapes,"Boise National Forest, Idaho",,,44.12488,-115.56726,NARA College Park; RG 22 Fish and Wildlife Services; Biological Survey Photos; WB; Box 11,,United States Fish and Wildlife Service,NARA0815DC65,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,218,archivalidaho218,image,archivalidaho218.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho218.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho218_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho218_th.jpg,
Cedar and red fir on west slope near mouth of Lochsa River,,1930,yes,Photo text: 'Selway National Forest. Fair reproduction.',national forests; surveys; tree species; cedar; fir,"Nez Perce-Clearwater National Forest, Idaho",,,46.147313,-115.599233,,48541,United States Forest Service,ClrwtrNF14,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,219,archivalidaho219,image,archivalidaho219.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho219.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho219_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho219_th.jpg,
